N,wl_2d,wl_3d,avg_2d,avg_3d,ratio,reduction_pct,grid_2d,box_3d
43,4116,3304,4.558139534883721,3.6589147286821704,0.8027210884353742,19.727891156462583,5x9,4x6x2
44,4350,3464,4.59830866807611,3.6617336152219875,0.7963218390804597,20.367816091954026,5x9,4x6x2
45,4620,3644,4.666666666666667,3.680808080808081,0.7887445887445887,21.125541125541126,5x9,4x6x2
46,4725,3825,4.565217391304348,3.6956521739130435,0.8095238095238095,19.047619047619047,6x8,4x6x2
47,4976,4040,4.603145235892692,3.7372802960222016,0.8118971061093248,18.810289389067524,6x8,4x6x2
48,5264,4256,4.666666666666667,3.773049645390071,0.8085106382978723,19.14893617021277,6x8,4x6x2
49,5488,4400,4.666666666666667,3.741496598639456,0.8017492711370262,19.825072886297377,7x7,5x5x2
50,6125,4625,5.0,3.7755102040816326,0.7551020408163265,24.489795918367353,5x10,5x5x2
51,6220,5088,4.87843137254902,3.9905882352941178,0.8180064308681672,18.199356913183284,6x9,4x7x2
52,6496,5296,4.8989441930618405,3.9939668174962293,0.8152709359605911,18.472906403940893,6x9,4x7x2
53,6804,5532,4.937590711175617,4.014513788098694,0.8130511463844797,18.69488536155203,6x9,4x7x2
54,7155,5769,5.0,4.031446540880503,0.8062893081761007,19.37106918238993,6x9,4x7x2
55,7336,6048,4.9400673400673405,4.072727272727272,0.8244274809160306,17.557251908396942,7x8,4x7x2
56,7700,6328,5.0,4.109090909090909,0.8218181818181818,17.81818181818182,7x8,4x7x2
57,8316,6424,5.2105263157894735,4.025062656641604,0.7724867724867724,22.751322751322757,6x10,5x6x2
58,8649,6681,5.2323049001814885,4.0417422867513615,0.7724592438432188,22.754075615678115,6x10,5x6x2
59,9020,6980,5.27177089421391,4.07948568088837,0.7738359201773836,22.616407982261645,6x10,5x6x2
60,9440,7280,5.333333333333333,4.112994350282486,0.7711864406779662,22.881355932203384,6x10,5x6x2
61,9584,7956,5.2371584699453555,4.3475409836065575,0.8301335559265443,16.986644407345576,7x9,4x8x2
62,9975,8257,5.274986779481756,4.366472765732417,0.8277694235588973,17.223057644110273,7x9,4x8x2
63,10416,8608,5.333333333333333,4.40757808499744,0.82642089093702,17.357910906298002,7x9,4x8x2
64,10752,8960,5.333333333333333,4.444444444444445,0.8333333333333334,16.666666666666664,8x8,4x8x2
65,11660,9016,5.605769230769231,4.334615384615384,0.7732418524871355,22.67581475128645,6x11,5x7x2
66,12155,9313,5.666666666666667,4.341724941724942,0.7661867544220485,23.381324557795146,6x11,5x7x2
67,12268,9644,5.548620533695161,4.361827227498869,0.7861102054124551,21.388979458754488,7x10,5x7x2
68,12692,9976,5.571553994732222,4.3792800702370505,0.7860069335014183,21.399306649858175,7x10,5x7x2
69,13160,10360,5.609548167092924,4.416027280477408,0.7872340425531915,21.276595744680847,7x10,5x7x2
70,13685,10745,5.666666666666667,4.449275362318841,0.7851662404092071,21.483375959079286,7x10,5x7x2
71,13944,10980,5.6112676056338024,4.41851106639839,0.7874354561101549,21.256454388984515,8x9,6x6x2
72,14484,11376,5.666666666666667,4.450704225352113,0.7854183927091963,21.458160729080365,8x9,6x6x2
73,15424,12240,5.8691019786910195,4.657534246575342,0.7935684647302904,20.64315352697096,7x11,5x8x2
74,15887,12585,5.881895594224361,4.65938541281007,0.7921571095864544,20.784289041354565,7x11,5x8x2
75,16388,12956,5.905585585585586,4.668828828828829,0.7905784720527215,20.942152794727853,7x11,5x8x2
76,16940,13328,5.943859649122807,4.676491228070176,0.7867768595041322,21.322314049586776,7x11,5x8x2
77,17556,13744,6.0,4.6971975393028025,0.782866256550467,21.713374344953294,7x11,5x8x2
78,17745,14161,5.909090909090909,4.715617715617715,0.7980276134122288,20.197238658777117,8x10,5x8x2
79,18320,14640,5.946121389159364,4.751703992210321,0.7991266375545851,20.087336244541486,8x10,5x8x2
80,18960,15120,6.0,4.784810126582278,0.7974683544303798,20.253164556962023,8x10,5x8x2
81,19440,15240,6.0,4.703703703703703,0.7839506172839507,21.604938271604933,9x9,6x7x2
82,20721,15681,6.239385727190605,4.721770551038844,0.7567684957289706,24.323150427102934,7x12,6x7x2
83,21364,16184,6.277990008815751,4.7558037026153395,0.7575360419397117,24.24639580602883,7x12,6x7x2
84,22078,16688,6.333333333333333,4.78714859437751,0.755865567533291,24.413443246670894,7x12,6x7x2
85,22204,17856,6.219607843137255,5.001680672268908,0.8041794271302468,19.582057286975317,8x11,5x9x2
86,22821,18313,6.243775649794801,5.010396716826265,0.8024626440559134,19.75373559440866,8x11,5x9x2
87,23496,18824,6.280673616680032,5.03180967655707,0.801157643854273,19.8842356145727,8x11,5x9x2
88,24244,19336,6.333333333333333,5.051201671891327,0.7975581587196833,20.244184128031673,8x11,5x9x2
89,24600,19920,6.281920326864147,5.08682328907048,0.8097560975609757,19.024390243902435,9x10,5x9x2
90,25365,20505,6.333333333333333,5.119850187265918,0.8083973979893554,19.16026020106446,9x10,5x9x2
91,27300,20520,6.666666666666667,5.010989010989011,0.7516483516483516,24.835164835164836,7x13,6x8x2
92,27370,21016,6.538461538461538,5.020544672718586,0.7678480087687248,23.215199123127515,8x12,6x8x2
93,28036,21564,6.553529686769519,5.040673211781206,0.7691539449279498,23.084605507205026,8x12,6x8x2
94,28753,22113,6.578128574696866,5.059025394646534,0.7690675755573332,23.093242444266682,8x12,6x8x2
95,29536,22736,6.615005599104143,5.092049272116461,0.7697724810400867,23.022751895991334,8x12,6x8x2
96,30400,23360,6.666666666666667,5.12280701754386,0.7684210526315789,23.15789473684211,8x12,6x8x2
97,30640,23716,6.580756013745704,5.0936426116838485,0.7740208877284596,22.597911227154043,9x11,7x7x2
98,31449,24353,6.616663160109405,5.123711340206185,0.7743648446691469,22.563515533085308,9x11,7x7x2
99,32340,26300,6.666666666666667,5.421562564419707,0.8132343846629561,18.676561533704394,9x11,5x10x2
100,33000,27000,6.666666666666667,5.454545454545454,0.8181818181818182,18.181818181818176,10x10,5x10x2
